file,c,L,t,threshold_05,positive_lobe,spectral_moment,inverse_interface_proxy
c1_L32_rep001.npz,0.15,32,8,0.7074284280380524,0.8210975631190955,3.350443785699947,5.535135135135135
c1_L32_rep001.npz,0.15,32,10,0.7230707046516243,0.869418981999801,3.4059435243034213,5.657458563535911
c1_L32_rep001.npz,0.15,32,13,0.743504213483146,0.9434023764851149,3.4640679286787446,5.818181818181818
c1_L32_rep001.npz,0.15,32,15,0.756324945494186,0.9936105212681663,3.5118119863673316,5.91907514450867
c1_L32_rep001.npz,0.15,32,19,0.812109375,0.968927917617135,3.672846203262766,6.320987654320987
c1_L32_rep001.npz,0.15,32,24,0.814208984375,0.9671047081809474,3.6965122668752293,6.3602484472049685
c1_L32_rep001.npz,0.15,32,29,0.8497526964195344,0.9992062433319724,3.802552771938655,6.64935064935065
c1_L32_rep001.npz,0.15,32,36,0.850182950949367,1.0013718321907978,3.812881664096059,6.64935064935065
c1_L32_rep001.npz,0.15,32,44,0.8904378255208334,1.0312453669228638,3.9317453009778123,6.965986394557823
c1_L32_rep001.npz,0.15,32,55,0.8910978980378984,1.0463138517448187,3.9483377467019154,6.965986394557823
c1_L32_rep001.npz,0.15,32,68,0.9489120473775488,1.0917032701456528,4.119795596336936,7.420289855072464
c1_L32_rep001.npz,0.15,32,84,0.8554912860576923,1.032590989365639,3.843358750657742,6.69281045751634
c1_L32_rep001.npz,0.15,32,103,0.8855083626760563,1.06622919555301,3.9329935156737994,6.918918918918919
c1_L32_rep001.npz,0.15,32,127,0.959426011496443,1.1539952530387423,4.157564759894842,7.474452554744525
c1_L32_rep001.npz,0.15,32,157,0.9838138409514926,1.1964350643519555,4.2451290918136575,7.6992481203007515
c1_L32_rep001.npz,0.15,32,194,1.091280367524917,1.2898192637777093,4.461358865066752,8.258064516129032
c1_L32_rep001.npz,0.15,32,239,1.0622128893375082,1.2830324645550757,4.446121605583201,8.126984126984127
c1_L32_rep001.npz,0.15,32,296,1.2022380706434532,1.400483402706694,4.714323836186521,8.904347826086957
c1_L32_rep001.npz,0.15,32,365,1.218284283737163,1.484527572523262,4.762061388188178,8.982456140350877
c1_L32_rep001.npz,0.15,32,451,1.2237399961890243,1.4462732668842297,4.803532906890774,9.061946902654867
c1_L32_rep001.npz,0.15,32,556,1.2157110724005256,1.4216129141826204,4.758435100324668,8.904347826086957
c1_L32_rep001.npz,0.15,32,687,1.286840373168498,1.4799910514187111,4.918699019618041,9.309090909090909
c1_L32_rep001.npz,0.15,32,848,1.3933186848958334,1.7598652025955366,5.00059934180159,9.394495412844037
c1_L32_rep001.npz,0.15,32,1047,1.5050313484768907,1.7409936733599856,5.466980102003825,10.666666666666666
c1_L32_rep001.npz,0.15,32,1292,1.6473825330385532,1.8934765198134003,5.908971539721991,12.047058823529412
c1_L32_rep001.npz,0.15,32,1595,1.8609971083603896,2.0784377967129855,6.158080277000578,12.8
c1_L32_rep001.npz,0.15,32,1970,1.870184326171875,2.118472846704643,6.005897338485051,12.337349397590362
c1_L32_rep001.npz,0.15,32,2432,1.9867975144159227,2.1954700913803347,6.354765011449847,13.653333333333334
c1_L32_rep001.npz,0.15,32,3002,1.6700368406911377,2.1143226678733145,5.575982342287223,10.893617021276595
c1_L32_rep001.npz,0.15,32,3706,2.0184074070142666,2.5133819853916837,6.7117605557456335,14.422535211267606
c1_L32_rep001.npz,0.15,32,4576,2.261692592075893,2.7997760327181793,6.702135675236956,13.653333333333334
c1_L32_rep001.npz,0.15,32,5649,2.4567835711050723,3.0083945233780227,7.247217765458535,15.283582089552239
c1_L32_rep001.npz,0.15,32,6974,2.9199381510416664,3.822261560904048,7.821882373104183,16.78688524590164
c1_L32_rep001.npz,0.15,32,8610,3.958827039930555,4.233704171700632,8.567999024816068,18.962962962962962
c1_L32_rep001.npz,0.15,32,10629,4.316725388071895,4.668752243646016,9.226575747469903,20.48
c1_L32_rep001.npz,0.15,32,13122,4.232660590277778,nan,9.460017525238658,21.78723404255319
c1_L32_rep001.npz,0.15,32,16200,3.7395113431490383,4.268933163172286,9.25938292613079,20.897959183673468
c1_L32_rep001.npz,0.15,32,20000,4.159817325367647,4.33570992089732,8.979641512254569,19.32075471698113
c1_L32_rep002.npz,0.15,32,1,0.6149357175364077,0.6768652601426297,3.036985269028233,4.807511737089202
c1_L32_rep002.npz,0.15,32,2,0.638623046875,0.7225808421749956,3.106612929476564,4.995121951219512
c1_L32_rep002.npz,0.15,32,3,0.6356841465212264,0.7191682776185739,3.1044556319358074,4.970873786407767
c1_L32_rep002.npz,0.15,32,4,0.6400861008197307,0.722107211955609,3.1179052045814473,4.995121951219512
c1_L32_rep002.npz,0.15,32,5,0.65419921875,0.7443442301489561,3.160173239520645,5.12
c1_L32_rep002.npz,0.15,32,7,0.6755810094618333,0.837804291485403,3.225969428634962,5.278350515463917
c1_L32_rep002.npz,0.15,32,8,0.689853766025641,0.801598779934246,3.265132354708617,5.389473684210526
c1_L32_rep002.npz,0.15,32,10,0.7311542217548077,0.8449445032338352,3.419008709909992,5.720670391061453
c1_L32_rep002.npz,0.15,32,13,0.7311542217548077,0.8973066248810456,3.423856267153643,5.720670391061453
c1_L32_rep002.npz,0.15,32,15,0.743504213483146,0.9400067059145121,3.458156345043078,5.818181818181818
c1_L32_rep002.npz,0.15,32,19,0.7723185221354165,1.0041242673230144,3.552056943644316,6.023529411764706
c1_L32_rep002.npz,0.15,32,24,0.8334086120070594,0.997786056265505,3.80051284730974,6.522292993630574
c1_L32_rep002.npz,0.15,32,29,0.8388548259493671,0.9932492849828999,3.8244081700103494,6.564102564102564
c1_L32_rep002.npz,0.15,32,36,0.8374859535530823,1.005215706832928,3.7864852547193446,6.522292993630574
c1_L32_rep002.npz,0.15,32,44,0.7988732083023082,0.9810691065842838,3.6719072275914755,6.2439024390243905
c1_L32_rep002.npz,0.15,32,55,0.8282329852764423,1.0165738910425062,3.744466429230153,6.481012658227848
c1_L32_rep002.npz,0.15,32,68,0.8509010108741555,1.0589135348919956,3.840507371331637,6.64935064935065
c1_L32_rep002.npz,0.15,32,84,0.9347610800673606,1.1267929884137455,4.105687996958539,7.314285714285714
c1_L32_rep002.npz,0.15,32,103,0.9933293706771023,1.2282664929730958,4.265538686949741,7.757575757575758
c1_L32_rep002.npz,0.15,32,127,0.9875697544642856,1.2373959546286677,4.236196374396571,7.641791044776119
c1_L32_rep002.npz,0.15,32,157,1.0763590494791666,1.3328786863899817,4.447168832082951,8.192
c1_L32_rep002.npz,0.15,32,194,1.147342967740633,1.3456190317131185,4.5683261310362395,8.533333333333333
c1_L32_rep002.npz,0.15,32,239,1.21337890625,1.3841800277859968,4.736057969021582,8.904347826086957
c1_L32_rep002.npz,0.15,32,296,1.1907781427556818,1.4366364378578624,4.639097672379963,8.677966101694915
c1_L32_rep002.npz,0.15,32,365,1.3374255557618846,1.5074143828769753,4.939721853824761,9.481481481481481
c1_L32_rep002.npz,0.15,32,451,1.2989690801933813,1.5141028051958818,4.863400170382182,9.309090909090909
c1_L32_rep002.npz,0.15,32,556,1.4721883585164837,1.6344950242810463,5.320600503758766,10.666666666666666
c1_L32_rep002.npz,0.15,32,687,1.4843222128378377,1.6741587678357828,5.437098316933903,10.778947368421052
c1_L32_rep002.npz,0.15,32,848,1.5733309659090908,1.757384614497427,5.488413812547674,11.010752688172044
c1_L32_rep002.npz,0.15,32,1047,1.5380470012796337,1.7461236375972367,5.366148301271484,10.448979591836734
c1_L32_rep002.npz,0.15,32,1292,1.8545640514742945,2.0615170390226716,6.2787504189491745,13.2987012987013
c1_L32_rep002.npz,0.15,32,1595,1.7768824084051724,1.989075763262027,5.963152886659516,12.047058823529412
c1_L32_rep002.npz,0.15,32,1970,1.9020638020833331,2.1115613315561386,6.194907292950658,12.962025316455696
c1_L32_rep002.npz,0.15,32,2432,1.7951307653743314,2.03487472928451,5.958261798533637,12.047058823529412
c1_L32_rep002.npz,0.15,32,3002,1.7548795244107742,2.0046637773418237,5.8856634250814945,11.906976744186046
c1_L32_rep002.npz,0.15,32,3706,1.8508970424107143,2.066710148927812,5.954302903264061,11.906976744186046
c1_L32_rep002.npz,0.15,32,4576,1.9210035536024304,2.2316043296781443,6.319453445179721,13.128205128205128
c1_L32_rep002.npz,0.15,32,5649,1.8952987495510056,2.1023369427582117,6.2249419726501065,12.641975308641975
c1_L32_rep002.npz,0.15,32,6974,1.9023256138392857,2.0922955238597467,6.038908356258904,12.337349397590362
c1_L32_rep002.npz,0.15,32,8610,2.139996722027972,2.2981707092658237,6.533865275541631,13.653333333333334
c1_L32_rep002.npz,0.15,32,10629,2.3967227027529763,2.587376641582595,7.27535335341829,16.0
c1_L32_rep002.npz,0.15,32,13122,2.504371056189904,2.7151875672166126,6.9599726392884955,14.840579710144928
c1_L32_rep002.npz,0.15,32,16200,2.4281275699013154,2.650976091963093,7.222418053516025,15.515151515151516
c1_L32_rep002.npz,0.15,32,20000,2.4245871803977277,2.6456635908541895,7.146455163654125,15.283582089552239
c1_L32_rep003.npz,0.15,32,1,0.5951692503721776,0.6538386584343279,2.9425806118641074,4.654545454545454
c1_L32_rep003.npz,0.15,32,2,0.6261569734326342,0.6973839680284993,3.071001376156414,4.899521531100478
c1_L32_rep003.npz,0.15,32,3,0.6263864610534634,0.7016325095236855,3.0716589310400764,4.899521531100478
c1_L32_rep003.npz,0.15,32,4,0.6449225010016026,0.7338516832453004,3.1225931602993557,5.044334975369458
c1_L32_rep003.npz,0.15,32,5,0.6482939667754122,0.7301568850747587,3.1449997099136064,5.069306930693069
c1_L32_rep003.npz,0.15,32,7,0.678381953679078,0.7736988732017142,3.231963041618555,5.305699481865285
c1_L32_rep003.npz,0.15,32,8,0.6709912037463182,0.7748951152757342,3.228703434866239,5.251282051282051
c1_L32_rep003.npz,0.15,32,10,0.6718393072269329,0.7792488330787796,3.204878169549475,5.251282051282051
c1_L32_rep003.npz,0.15,32,13,0.7147818064537561,0.8463118975172729,3.3272203288169204,5.535135135135135
c1_L32_rep003.npz,0.15,32,15,0.7392781575520833,0.8461443189148701,3.415246711912352,5.720670391061453
c1_L32_rep003.npz,0.15,32,19,0.7337196751644738,0.8933356357825262,3.4053257440227163,5.720670391061453
c1_L32_rep003.npz,0.15,32,24,0.7755307798032407,0.9085498705956848,3.5394814866810016,6.059171597633136
c1_L32_rep003.npz,0.15,32,29,0.7798032407407407,0.8985960476380062,3.579887272856421,6.095238095238095
c1_L32_rep003.npz,0.15,32,36,0.7837250325053802,0.909359440645024,3.603038019848886,6.131736526946108
c1_L32_rep003.npz,0.15,32,44,0.8034544353243671,0.9894989830849399,3.643295399851275,6.282208588957055
c1_L32_rep003.npz,0.15,32,55,0.8613849727130978,1.0017099865704946,3.845965340741816,6.7368421052631575
c1_L32_rep003.npz,0.15,32,68,0.8724207220172476,1.0268382020936637,3.8507544047100577,6.826666666666667
c1_L32_rep003.npz,0.15,32,84,0.8899033490349264,1.0468000973043017,3.9041616721338817,6.918918918918919
c1_L32_rep003.npz,0.15,32,103,0.8509010108741555,1.020076624951019,3.835502789846118,6.64935064935065
c1_L32_rep003.npz,0.15,32,127,0.9436871254280823,1.1462991272754772,4.138633404997694,7.366906474820144
c1_L32_rep003.npz,0.15,32,157,0.9221390615693865,1.135109706935037,4.077050908487169,7.211267605633803
c1_L32_rep003.npz,0.15,32,194,0.9499104817708335,1.1572996829634088,4.1611746388488395,7.420289855072464
c1_L32_rep003.npz,0.15,32,239,1.1003148049301243,1.2751156493059441,4.488654582618268,8.325203252032521
c1_L32_rep003.npz,0.15,32,296,1.2348074776785714,1.396436273794937,4.755526902424902,9.061946902654867
c1_L32_rep003.npz,0.15,32,365,1.1802346271969153,1.3684549874514853,4.665582442350059,8.677966101694915
c1_L32_rep003.npz,0.15,32,451,1.2562106993140243,1.537025633684443,4.863947753206385,9.225225225225225
c1_L32_rep003.npz,0.15,32,556,1.1878949333639706,1.6654989546514138,4.6337094326818695,8.677966101694915
c1_L32_rep003.npz,0.15,32,687,1.3697415865384617,1.5094002292648132,5.096756808442768,10.03921568627451
c1_L32_rep003.npz,0.15,32,848,1.4037708442752102,1.7652469264302508,5.148442371486148,9.941747572815533
c1_L32_rep003.npz,0.15,32,1047,1.456706043375965,1.8980316495965548,5.213707245026855,10.03921568627451
c1_L32_rep003.npz,0.15,32,1292,1.6239459739861855,1.8499519587256272,5.7117698355626825,11.50561797752809
c1_L32_rep003.npz,0.15,32,1595,1.5028573180034874,1.7272185389143901,5.411754043738126,10.556701030927835
c1_L32_rep003.npz,0.15,32,1970,1.8942109279023343,2.0925260606177227,6.27692270307351,13.128205128205128
c1_L32_rep003.npz,0.15,32,2432,2.0162935025542783,2.162016284496753,6.667237006951132,14.222222222222221
c1_L32_rep003.npz,0.15,32,3002,1.941478587962963,2.151060254575206,6.267401144020577,12.8
c1_L32_rep003.npz,0.15,32,3706,2.235854640151515,2.5273181098458197,6.8346401819168365,14.422535211267606
c1_L32_rep003.npz,0.15,32,4576,2.397904007523148,2.5723105725318143,7.500787251121521,16.78688524590164
c1_L32_rep003.npz,0.15,32,5649,2.3531289160401005,2.7651295186444704,7.125534568913505,15.283582089552239
c1_L32_rep003.npz,0.15,32,6974,2.3373361572890023,2.7479230725401442,6.700085739990285,13.837837837837839
c1_L32_rep003.npz,0.15,32,8610,2.219246419270833,2.5648650547819267,6.623937680194655,13.653333333333334
c1_L32_rep003.npz,0.15,32,10629,2.905947730654762,3.5052956428367867,7.987805989199822,17.35593220338983
c1_L32_rep003.npz,0.15,32,13122,3.5448447779605257,3.7602933496264703,9.32257378043163,21.78723404255319
c1_L32_rep003.npz,0.15,32,16200,3.6347859700520835,3.817221644700935,9.025053091762132,20.07843137254902
c1_L32_rep003.npz,0.15,32,20000,3.827226911272321,4.049051749313449,9.73879888222674,22.755555555555556
c1_L64_rep000.npz,0.15,64,1,0.6149380083536916,0.7028698987362358,3.0188892623693406,4.824499411071849
c1_L64_rep000.npz,0.15,64,2,0.6450596382789996,0.7404267763766004,3.1254901173431886,5.05679012345679
c1_L64_rep000.npz,0.15,64,3,0.6670953784458,0.7780986634554222,3.1953786381648595,5.231162196679438
