c,L,n,estimator,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_threshold,delta_low,delta_high,unresolved_values
0.15,128,8,spectral_moment,100,20000,28,105,19557,0.12491410035908067,0.1219487908571313,0.1280443821764096,-0.087444375730568,-0.0897764746787521,-0.08522785368089389,0
0.15,128,8,spectral_moment,100,200000,40,105,200000,0.13974194899946238,0.1371996488981971,0.1421290622827538,-0.09644855458526094,-0.0980498292001159,-0.09477517764570689,0
0.15,128,8,spectral_moment,1000,20000,16,1069,19557,0.14130898410971596,0.13461418591397675,0.14785890140035618,-0.0939199113424233,-0.09870573150397377,-0.08987793886994352,0
0.15,128,8,spectral_moment,1000,200000,28,1069,200000,0.15505192473992804,0.14964013907200466,0.16013705498954342,-0.10532124541863472,-0.1085887889027315,-0.10168799721615596,0
0.15,128,8,inverse_interface_proxy,100,20000,28,105,19557,0.16299027924423615,0.15930271992683961,0.1670299412620944,-0.04936819684541252,-0.05098457988440894,-0.04792206195108444,0
0.15,128,8,inverse_interface_proxy,100,200000,40,105,200000,0.17427152995660514,0.17143083630013672,0.17702329029321762,-0.061918973628118185,-0.0631758750096286,-0.06059528379636357,0
0.15,128,8,inverse_interface_proxy,1000,20000,16,1069,19557,0.17885536589648734,0.17048081470433368,0.18731607061785843,-0.05637352955565192,-0.05959422057550046,-0.053409683494134524,0
0.15,128,8,inverse_interface_proxy,1000,200000,28,1069,200000,0.18666142348391737,0.1803217840594458,0.1927219642300995,-0.07371174667464539,-0.07623524462998794,-0.07083850695023614,0
0.5,32,8,threshold_05,100,20000,21,105,16113,0.20435256866034557,0.1936458722486411,0.2142542287294459,0.0,0.0,0.0,35
0.5,32,8,threshold_05,100,200000,21,105,16113,0.20435256866034557,0.1936458722486411,0.2142542287294459,0.0,0.0,0.0,35
0.5,32,8,threshold_05,1000,20000,9,1069,16113,0.22440504840229836,0.20519766871905235,0.24325018257147535,0.0,0.0,0.0,35
0.5,32,8,threshold_05,1000,200000,9,1069,16113,0.22440504840229836,0.20519766871905235,0.24325018257147535,0.0,0.0,0.0,35
0.5,32,8,positive_lobe,100,20000,21,105,16113,0.1999614972262167,0.1911485797842809,0.20900091934352805,-0.004391071434128868,-0.008098283736833951,-0.0007262356430852284,69
0.5,32,8,positive_lobe,100,200000,21,105,16113,0.1999614972262167,0.1911485797842809,0.20900091934352805,-0.004391071434128868,-0.008098283736833951,-0.0007262356430852284,69
0.5,32,8,positive_lobe,1000,20000,9,1069,16113,0.2135048134239142,0.19533627672871992,0.23121664730591884,-0.01090023497838416,-0.021987358189269474,0.0007121604611870888,69
0.5,32,8,positive_lobe,1000,200000,9,1069,16113,0.2135048134239142,0.19533627672871992,0.23121664730591884,-0.01090023497838416,-0.021987358189269474,0.0007121604611870888,69
0.5,32,8,spectral_moment,100,20000,21,105,16113,0.13019416696387354,0.12400226339560533,0.13666733689672866,-0.07415840169647203,-0.07900814961996563,-0.06929776182469773,0
0.5,32,8,spectral_moment,100,200000,21,105,16113,0.13019416696387354,0.12400226339560533,0.13666733689672866,-0.07415840169647203,-0.07900814961996563,-0.06929776182469773,0
0.5,32,8,spectral_moment,1000,20000,9,1069,16113,0.14340624800680357,0.12900739624318056,0.1593466959265108,-0.08099880039549479,-0.08781562930865082,-0.07490828104725764,0
0.5,32,8,spectral_moment,1000,200000,9,1069,16113,0.14340624800680357,0.12900739624318056,0.1593466959265108,-0.08099880039549479,-0.08781562930865082,-0.07490828104725764,0
0.5,32,8,inverse_interface_proxy,100,20000,21,105,16113,0.17214763677374376,0.16520141426068766,0.17995696169989822,-0.03220493188660181,-0.03694484204711426,-0.028010717251594538,0
0.5,32,8,inverse_interface_proxy,100,200000,21,105,16113,0.17214763677374376,0.16520141426068766,0.17995696169989822,-0.03220493188660181,-0.03694484204711426,-0.028010717251594538,0
0.5,32,8,inverse_interface_proxy,1000,20000,9,1069,16113,0.18548503550645856,0.16780992622755853,0.20513637513782457,-0.038920012895839795,-0.04740345284652527,-0.03268106041132168,0
0.5,32,8,inverse_interface_proxy,1000,200000,9,1069,16113,0.18548503550645856,0.16780992622755853,0.20513637513782457,-0.038920012895839795,-0.04740345284652527,-0.03268106041132168,0
0.5,64,8,threshold_05,100,20000,25,105,10937,0.19816406597233932,0.19590908202521803,0.20050484667698928,0.0,0.0,0.0,0
0.5,64,8,threshold_05,100,200000,29,105,200000,0.23189990804547503,0.22606102670542474,0.23733909261009686,0.0,0.0,0.0,0
0.5,64,8,threshold_05,1000,20000,13,1069,10937,0.2291273689971248,0.2133843980854234,0.24246218254998045,0.0,0.0,0.0,0
0.5,64,8,threshold_05,1000,200000,17,1069,200000,0.2631860956979686,0.25351005570609414,0.2725962852596574,0.0,0.0,0.0,0
0.5,64,8,positive_lobe,100,20000,25,105,10937,0.19633296199317124,0.19237742274934977,0.2000403300963135,-0.0018311039791680805,-0.006053740996995642,0.0027985599879971376,13
0.5,64,8,positive_lobe,100,200000,29,105,200000,0.22527797385595535,0.21883192293112783,0.23126993114390618,-0.006621934189519674,-0.008479457569286876,-0.004852323012425374,13
0.5,64,8,positive_lobe,1000,20000,13,1069,10937,0.23039303478139725,0.2074983455328251,0.25119605713371257,0.0012656657842724517,-0.008898591420459344,0.013881202561567406,13
0.5,64,8,positive_lobe,1000,200000,17,1069,200000,0.25323316076547164,0.24212572035300914,0.2629764957316757,-0.009952934932496937,-0.011478987512940247,-0.008499359159304498,13
0.5,64,8,spectral_moment,100,20000,25,105,10937,0.12529502140844823,0.1236867308953187,0.1269745982304921,-0.0728690445638911,-0.07396690405508538,-0.07174531109047921,0
0.5,64,8,spectral_moment,100,200000,29,105,200000,0.14811014659940694,0.1438586651208767,0.1520105145019054,-0.08378976144606809,-0.08600326359584325,-0.08132216981530348,0
0.5,64,8,spectral_moment,1000,20000,13,1069,10937,0.14201996538557363,0.1307950410454647,0.15162556922282042,-0.08710740361155117,-0.0917444431854419,-0.08100348841295456,0
0.5,64,8,spectral_moment,1000,200000,17,1069,200000,0.16852149727459553,0.1613572788609668,0.17548508714151603,-0.09466459842337305,-0.09837907357155085,-0.090707401731961,0
0.5,64,8,inverse_interface_proxy,100,20000,25,105,10937,0.16690156509894905,0.1645923691993242,0.16921216468343794,-0.031262500873390275,-0.032743272877863466,-0.029776452267162554,0
0.5,64,8,inverse_interface_proxy,100,200000,29,105,200000,0.1857681866283261,0.18064792689992645,0.19032004268508448,-0.04613172141714894,-0.049003476099686395,-0.0434456353608978,0
