c,L,t,n,length,standard_error
0.15,32,84,4,0.9072669406343821,0.021355044952124688
0.15,32,103,4,0.9352172631802258,0.039496848691542984
0.15,32,127,4,0.9686241830850758,0.010392800337034935
0.15,32,157,4,0.9897877757570936,0.03198214181974595
0.15,32,194,4,1.0534788132741428,0.04257865162864874
0.15,32,239,4,1.0796049964349896,0.05584274823800168
0.15,32,296,4,1.1894073241783476,0.021946992940390455
0.15,32,365,4,1.2261314733518183,0.038585920920760894
0.15,32,451,4,1.2595966771258016,0.015403920957686869
0.15,32,556,4,1.2970058131492443,0.06418377597427778
0.15,32,687,4,1.3430014088339284,0.05504715145477874
0.15,32,848,4,1.434611552806492,0.04684460077241909
0.15,32,1047,4,1.494492389089484,0.01756371127677284
0.15,32,1292,4,1.6805953232882627,0.05891468043625703
0.15,32,1595,4,1.671171699391667,0.08742784698175009
0.15,32,1970,4,1.8238176522969614,0.06535475014887701
0.15,32,2432,4,1.8292151956682465,0.11454613393353807
0.15,32,3002,4,1.7591545493381273,0.06397334986218453
0.15,32,3706,4,1.9958890858410938,0.08799505918956656
0.15,32,4576,4,2.126200471834932,0.12079258780930867
0.15,32,5649,4,2.131032877283019,0.16031869875323465
0.15,32,6974,4,2.255966976798999,0.24596222228741352
0.15,32,8610,4,2.5340637925171614,0.4827725143443921
0.15,32,10629,4,2.9641326963876224,0.47287879732418675
0.15,32,13122,4,3.1547864001411425,0.44771017774350813
0.15,32,16200,4,3.0999348340568593,0.341452302203173
0.15,32,20000,4,3.2103755056266112,0.4572195512876996
0.15,64,1,4,0.602404966542447,0.005089980326534691
0.15,64,2,4,0.6358055920548635,0.0030849650003721978
0.15,64,3,4,0.6562257552847189,0.0041670813386695486
0.15,64,4,4,0.6668134002902854,0.00581353263215631
0.15,64,5,4,0.6750916043295516,0.006124306125213349
0.15,64,7,4,0.6870464337993594,0.0009923383540315623
0.15,64,8,4,0.6979815431512821,0.0026240400308421103
0.15,64,10,4,0.7077158559762728,0.00717354049492022
0.15,64,13,4,0.7257490552878664,0.004861926721048756
0.15,64,15,4,0.7370087123914786,0.004521834817190614
0.15,64,19,4,0.7563064562603119,0.005227573535675503
0.15,64,24,4,0.7776310748863895,0.008707620191505134
0.15,64,29,4,0.7910650479275987,0.0059561359366664905
0.15,64,36,4,0.8057534820766308,0.013060897350869485
0.15,64,44,4,0.829057110604226,0.0024326492698488918
0.15,64,55,4,0.8715246845183334,0.006289918444747936
0.15,64,68,4,0.8955986782711227,0.009567335213326858
0.15,64,84,4,0.9140414659683942,0.005746202839781239
0.15,64,103,4,0.9366059261458368,0.008512863748015492
0.15,64,127,4,0.9603351408442915,0.015395944420152463
0.15,64,157,4,0.9985109228895649,0.008333142804149504
