file,seed,c,L,t,condition,crop_id,pixel_size_sites,width_sites,phase_fraction,length,length_x,length_y,resolved
c1_L128_rep001.npz,2864519957,0.15,128,51526,crop96,32:32,1,96,0.16297743055555555,4.3031062347916045,4.6325294179710745,3.9736830516121344,True
c1_L128_rep001.npz,2864519957,0.15,128,51526,crop64,0:0,1,64,0.18359375,4.353474754328822,4.503907642177078,4.203041866480565,True
c1_L128_rep001.npz,2864519957,0.15,128,51526,crop64,0:64,1,64,0.140625,3.7818927330543888,3.7875549653608607,3.7762305007479164,True
c1_L128_rep001.npz,2864519957,0.15,128,51526,crop64,64:0,1,64,0.10595703125,5.523539445968225,5.935942970821568,5.111135921114883,True
c1_L128_rep001.npz,2864519957,0.15,128,51526,crop64,64:64,1,64,0.169921875,3.9648723631795106,4.1443774896500365,3.785367236708985,True
c1_L128_rep001.npz,2864519957,0.15,128,51526,crop32,0:0,1,32,0.150390625,3.190367916578076,2.9279053265722808,3.4528305065838705,True
c1_L128_rep001.npz,2864519957,0.15,128,51526,crop32,0:96,1,32,0.12890625,4.802607483437319,5.017231395843509,4.587983571031129,True
c1_L128_rep001.npz,2864519957,0.15,128,51526,crop32,96:0,1,32,0.255859375,5.696506538881819,6.760214208619858,4.63279886914378,True
c1_L128_rep001.npz,2864519957,0.15,128,51526,crop32,96:96,1,32,0.19140625,5.419256999573433,6.658432284515268,4.180081714631597,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,full,full,1,128,0.1500244140625,4.475654822998274,4.363199681859772,4.588109964136778,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,bin2,full,2,128,0.160888671875,4.941661596407815,4.8579445048451095,5.025378687970521,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,bin4,full,4,128,0.1455078125,4.961593935979214,4.913872892909382,5.009314979049046,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,blur1,full,1,128,0.1422119140625,4.835562582749011,4.745694359489564,4.925430806008458,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,blur2,full,1,128,0.13214111328125,4.940269301239166,4.894402588132211,4.98613601434612,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,blur1_threshold_minus02,full,1,128,0.15374755859375,4.939386899179487,4.840668122167535,5.0381056761914405,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,blur1_threshold_plus02,full,1,128,0.1322021484375,4.716962815940292,4.653475634831962,4.780449997048622,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,crop96,0:0,1,96,0.1447482638888889,4.563952655520903,4.342874598393818,4.785030712647988,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,crop96,0:32,1,96,0.15928819444444445,4.280950289990814,4.212320724409266,4.3495798555723635,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,crop96,32:0,1,96,0.1537543402777778,4.899868596589018,5.002285840797819,4.797451352380216,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,crop96,32:32,1,96,0.1625434027777778,4.477699720449589,4.625444612366984,4.329954828532196,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,crop64,0:0,1,64,0.17626953125,5.191992882923762,4.69847003787854,5.6855157279689825,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,crop64,0:64,1,64,0.1474609375,4.172304770129831,3.723979569714426,4.620629970545235,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,crop64,64:0,1,64,0.11572265625,5.799615171232547,5.780538227207697,5.818692115257397,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,crop64,64:64,1,64,0.16064453125,3.9643120024288274,4.250659341538795,3.677964663318859,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,crop32,0:0,1,32,0.1669921875,4.140528908208845,3.3630372365766883,4.918020579841,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,crop32,0:96,1,32,0.140625,4.761231754415336,4.234257602862254,5.288205905968418,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,crop32,96:0,1,32,0.267578125,6.124058022701989,6.573160911781075,5.674955133622903,True
c1_L128_rep001.npz,2864519957,0.15,128,62542,crop32,96:96,1,32,0.189453125,7.85343556096199,12.170289571256983,3.536581550666997,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,full,full,1,128,0.1500244140625,4.576513188952704,4.516415377313308,4.6366110005921,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,bin2,full,2,128,0.158203125,4.985054734887601,4.988693894949392,4.98141557482581,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,bin4,full,4,128,0.14453125,5.135504085034641,5.123440651743925,5.147567518325356,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,blur1,full,1,128,0.1402587890625,5.003614349731935,4.943651786680032,5.063576912783837,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,blur2,full,1,128,0.13079833984375,5.18943182433501,5.090580928961314,5.288282719708707,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,blur1_threshold_minus02,full,1,128,0.15087890625,5.105884681455213,5.038504264011888,5.173265098898538,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,blur1_threshold_plus02,full,1,128,0.12969970703125,4.922455140873715,4.871980672503403,4.9729296092440265,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,crop96,0:0,1,96,0.14539930555555555,4.508679617980179,4.577247701144339,4.440111534816019,True
c1_L128_rep001.npz,2864519957,0.15,128,75913,crop96,0:32,1,96,0.1593967013888889,4.300662189307868,4.3004618742339105,4.300862504381826,True
