c,L,n,condition,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_full,delta_low,delta_high,unresolved_fraction,matched_last_time,matched_last_length_ratio
0.15,96,8,bin2,1000,20000,16,1069,19557,0.2043617428753054,0.1935103968340224,0.21445208500039697,-0.009106724767179608,-0.010823107916934476,-0.007260701423637932,0.0,19557,1.1300970462385294
0.15,96,8,bin2,1000,200000,28,1069,200000,0.23553533149922495,0.22694467572546986,0.242724700545696,-0.016128378449710268,-0.01815879035470272,-0.01443326922833218,0.0,200000,1.075414474346954
0.15,96,8,bin4,100,20000,28,105,19557,0.09737964793975652,0.0916515651315248,0.10256190368213966,-0.11368789485935689,-0.1174575238686348,-0.11006091147130156,0.0,19557,1.1615242271048207
0.15,96,8,bin4,1000,20000,16,1069,19557,0.1461789387973884,0.13735013770144472,0.15505073298869124,-0.06728952884509659,-0.07511197378096184,-0.05986332110897375,0.0,19557,1.1615242271048207
0.15,96,8,bin4,1000,200000,28,1069,200000,0.20363580441853185,0.19661390501483295,0.20915329738577826,-0.04802790553040337,-0.05227900551738229,-0.04465917114932726,0.0,200000,1.102228201920083
0.15,96,8,blur1,100,20000,28,105,19557,0.19626610386328627,0.19070988182118725,0.20181009495565608,-0.014801438935827138,-0.017330442346300216,-0.011530589992781108,0.0,19557,1.1120862559909597
0.15,96,8,blur1,1000,20000,16,1069,19557,0.20310840750313652,0.19297783668015323,0.21405775536509403,-0.010360060139348481,-0.01377763807214479,-0.006460522328815442,0.0,19557,1.1120862559909597
0.15,96,8,blur1,1000,200000,28,1069,200000,0.23891306804803839,0.23080509097406438,0.24611774531311184,-0.012750641900896836,-0.014814412464443762,-0.010615617971508413,0.0,200000,1.0766374126165237
0.15,96,8,blur2,100,20000,28,105,19557,0.1989225212938699,0.18131684331938894,0.2175770112083016,-0.01214502150524352,-0.024512017102317422,0.0016581711370318912,0.12083333333333333,19557,1.1362551802521728
0.15,96,8,blur2,1000,20000,16,1069,19557,0.2094129891245032,0.19637323805506612,0.22171131245097497,-0.004055478517981798,-0.012838355653014773,0.004779133189242572,0.12083333333333333,19557,1.1362551802521728
0.15,96,8,blur2,1000,200000,28,1069,200000,0.24257673662283644,0.23468059793966112,0.25031894660882115,-0.009086973326098785,-0.016533386892506892,-0.0019046204016849664,0.12083333333333333,200000,1.09604596699819
0.15,96,8,blur1_threshold_minus02,100,20000,28,105,19557,0.18525216769287936,0.18045253778487577,0.19024567131955422,-0.02581537510623405,-0.027587251031841415,-0.02420076782693022,0.0,19557,1.1481872400193076
0.15,96,8,blur1_threshold_minus02,1000,20000,16,1069,19557,0.19453241497839177,0.18490016303147047,0.20491343979682786,-0.018936052664093234,-0.022003424336742655,-0.015092511652545494,0.0,19557,1.1481872400193076
0.15,96,8,blur1_threshold_minus02,1000,200000,28,1069,200000,0.23030557253365258,0.22157276276855523,0.2382883269599849,-0.02135813741528264,-0.022629018562601605,-0.019906737117047525,0.0,200000,1.097210278999117
0.15,96,8,blur1_threshold_plus02,100,20000,28,105,19557,0.20998995057563138,0.20228191101165005,0.21762598081667206,-0.0010775922234820268,-0.004466037593384617,0.003388275291648835,0.0,19557,1.067630793167206
0.15,96,8,blur1_threshold_plus02,1000,20000,16,1069,19557,0.2152266764684452,0.20374731180856748,0.22715214929782443,0.0017582088259602002,-0.001910780147057197,0.005586341077448799,0.0,19557,1.067630793167206
0.15,96,8,blur1_threshold_plus02,1000,200000,28,1069,200000,0.2507880200668358,0.2428521766519928,0.2577493058936295,-0.0008756898820994063,-0.0036797492424195085,0.001827563598464166,0.0,200000,1.057807215174717
0.15,96,8,periodic_engine,100,20000,28,105,19557,0.21129326332906842,0.2058982887115804,0.21749222702874618,0.00022572052995500913,-0.0017655794972986796,0.0022192392234657693,0.0,19557,1.0100201792622763
0.15,96,8,periodic_engine,1000,20000,16,1069,19557,0.21500392907126287,0.2032408112105568,0.22620316919780764,0.0015354614287778623,-0.0016074893798458862,0.004726587355797465,0.0,19557,1.0100201792622763
0.15,96,8,periodic_engine,1000,200000,28,1069,200000,0.2566373064701681,0.2493370119520533,0.2637230138794943,0.004973596521232859,-0.0012477648340652645,0.01192103046217076,0.0,200000,1.0168837945074096
0.15,128,8,full,100,20000,28,105,19557,0.2104248824329106,0.20459835914715158,0.21645440280402395,0.0,0.0,0.0,0.0,19557,1.0
0.15,128,8,full,1000,20000,16,1069,19557,0.2314909147397411,0.2195093660619249,0.24322527151607304,0.0,0.0,0.0,0.0,19557,1.0
0.15,128,8,full,1000,200000,28,1069,200000,0.26000343068332976,0.25176240705693775,0.2687099224141528,0.0,0.0,0.0,0.0,200000,1.0
0.15,128,8,bin2,100,20000,28,105,19557,0.17753293385810057,0.1719952976482492,0.1834958197090287,-0.03289194857481004,-0.03392506499041303,-0.031956984424651565,0.0,19557,1.1256073158356812
0.15,128,8,bin2,1000,20000,16,1069,19557,0.22045772076841103,0.21031635046181646,0.23040103988536736,-0.011033193971330069,-0.014427587752292945,-0.007487559215811612,0.0,19557,1.1256073158356812
0.15,128,8,bin2,1000,200000,28,1069,200000,0.24358504289487237,0.23538572074016967,0.25218280115144354,-0.01641838778845739,-0.017008177610411873,-0.015763886649629303,0.0,200000,1.0749988976893456
0.15,128,8,bin4,100,20000,28,105,19557,0.10000943518954807,0.09359587636887591,0.10688142733719115,-0.11041544724336254,-0.11265885800521401,-0.10824893084318869,0.0,19557,1.14704292600476
