c,L,n,estimator,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_threshold,delta_low,delta_high,unresolved_values
0.5,32,4,spectral_moment,1000,20000,4,1047,3706,nan,nan,nan,nan,nan,nan,0
0.5,32,4,inverse_interface_proxy,100,20000,15,103,3706,0.15119317066248833,0.14067423808865406,0.1574609893549488,-0.0314843119297642,-0.037866168009416584,-0.027657131474787766,0
0.5,32,4,inverse_interface_proxy,1000,20000,4,1047,3706,nan,nan,nan,nan,nan,nan,0
0.5,64,4,threshold_05,100,20000,26,103,20000,0.2047856151138453,0.1991138161606271,0.2146235871870739,0.0,0.0,0.0,0
0.5,64,4,threshold_05,1000,20000,15,1047,20000,0.24111834204764226,0.22463946907784232,0.2670657283384775,0.0,0.0,0.0,0
0.5,64,4,positive_lobe,100,20000,26,103,20000,0.20043083935144787,0.19326301013829258,0.21141125369943334,-0.004354775762397428,-0.006307587971237483,-0.0029113528536134797,0
0.5,64,4,positive_lobe,1000,20000,15,1047,20000,0.22985137864807767,0.2126201035040384,0.25446134176422336,-0.011266963399564595,-0.013669688766904664,-0.008922988117342323,0
0.5,64,4,spectral_moment,100,20000,26,103,20000,0.13136098687805733,0.12667728892129915,0.13871256763812462,-0.07342462823578796,-0.07585248509570128,-0.07112642071248676,0
0.5,64,4,spectral_moment,1000,20000,15,1047,20000,0.1554493313754843,0.1428120357926153,0.1728186905434023,-0.08566901067215796,-0.09362469849518466,-0.07947212787744629,0
0.5,64,4,inverse_interface_proxy,100,20000,26,103,20000,0.17135531107104815,0.16547206675257203,0.1808135492399664,-0.03343030404279715,-0.035240473631430264,-0.03177417286644177,0
0.5,64,4,inverse_interface_proxy,1000,20000,15,1047,20000,0.19627680485651894,0.1791241437239338,0.22019219935920498,-0.044841537191123326,-0.04723362602530479,-0.04198103106733175,0
0.5,96,4,threshold_05,100,20000,26,103,20000,0.20639131370458136,0.20247405230186305,0.20873571298107343,0.0,0.0,0.0,0
0.5,96,4,threshold_05,1000,20000,15,1047,20000,0.24270941802939192,0.23470499447045898,0.25081585743066803,0.0,0.0,0.0,0
0.5,96,4,positive_lobe,100,20000,26,103,20000,0.2031794662084324,0.1996014719734674,0.205634004765511,-0.003211847496148945,-0.0049119191359685566,-0.002159448198296665,0
0.5,96,4,positive_lobe,1000,20000,15,1047,20000,0.2361199564311021,0.22742277611813083,0.24486827498547578,-0.006589461598289825,-0.00999762821851527,-0.003706196894624334,0
0.5,96,4,spectral_moment,100,20000,26,103,20000,0.13242448954928512,0.12988853052418697,0.13450829188930785,-0.07396682415529623,-0.07546847046854105,-0.07217972342828405,0
0.5,96,4,spectral_moment,1000,20000,15,1047,20000,0.1560391766976394,0.14971644677618767,0.16239396419230306,-0.08667024133175252,-0.08842189323836497,-0.08333900991364937,0
0.5,96,4,inverse_interface_proxy,100,20000,26,103,20000,0.17383331209627015,0.17090239579820415,0.17620847400790815,-0.03255800160831121,-0.03392201219895724,-0.031216746317628663,0
0.5,96,4,inverse_interface_proxy,1000,20000,15,1047,20000,0.19862178336903408,0.19029194154577012,0.20696529425133645,-0.04408763466035784,-0.04738504079152575,-0.04112408400941253,0
