c,L,t,n,length,standard_error
0.5,64,48,8,1.0378638183761675,0.008143594121888944
0.5,64,58,8,1.0854943412449318,0.005810064629405026
0.5,64,71,8,1.1228948612157579,0.006789031187516739
0.5,64,86,8,1.1616917459984855,0.01238481450879365
0.5,64,105,8,1.185133633906732,0.011884146066183444
0.5,64,127,8,1.2169523876582198,0.010116286535106657
0.5,64,154,8,1.2600397130226524,0.006800102130323014
0.5,64,187,8,1.3004837586399032,0.01062934808335191
0.5,64,227,8,1.3388389498774733,0.010314349571946381
0.5,64,276,8,1.3956558072129908,0.01368340394198703
0.5,64,334,8,1.4373618905877896,0.01245595762647738
0.5,64,406,8,1.4975624117477804,0.011691300760058115
0.5,64,493,8,1.5371042081869306,0.015063726669372059
0.5,64,598,8,1.5972121029726878,0.017511709110801632
0.5,64,726,8,1.652954262789204,0.018050810290732643
0.5,64,881,8,1.7124633323826797,0.022632388230357472
0.5,64,1069,8,1.7544449103941104,0.024109745998073254
0.5,64,1298,8,1.8229046553359745,0.02848692505025188
0.5,64,1576,8,1.9031247546314218,0.023139279405759227
0.5,64,1912,8,1.9990285208254088,0.030985060418088652
0.5,64,2321,8,2.078271660442924,0.03352000460184337
0.5,64,2818,8,2.1601248274272282,0.021498373450626513
0.5,64,3420,8,2.2553851794026136,0.02643333457953317
0.5,64,4151,8,2.3917967689297126,0.03094764081790965
0.5,64,5039,8,2.51890966755977,0.032637642613216084
0.5,64,6116,8,2.6350013896678686,0.04304062050425022
0.5,64,7423,8,2.723839065169518,0.047124276338707985
0.5,64,9010,8,2.818223431930521,0.045194724111912735
0.5,64,10937,8,2.9670466192312945,0.037695623335351994
0.5,64,13275,8,3.0817468060108544,0.034829798354586536
0.5,64,16113,8,3.2706752940456805,0.04500940904071568
0.5,64,19557,8,3.4719367333135587,0.0540079157998542
0.5,64,23739,8,3.719971332283656,0.0703521346174221
0.5,64,28814,8,3.892911896504299,0.05293123015913978
0.5,64,34974,8,4.232552788386402,0.0749825384477748
0.5,64,42451,8,4.511713395485412,0.10538693635817133
0.5,64,51526,8,4.625162736676798,0.09742366970883552
0.5,64,62542,8,4.967610057908082,0.09821541905434109
0.5,64,75913,8,5.056334635695909,0.08334388617961239
0.5,64,92142,8,5.490747173193732,0.11812706499884126
0.5,64,111841,8,5.776401479120161,0.14950513488936723
0.5,64,135751,8,6.080183117637137,0.15966305708853587
0.5,64,164773,8,6.459376083536027,0.17032420113617683
0.5,64,200000,8,6.855344007748007,0.16643793933801843
0.5,96,1,8,0.6713056693429414,0.0017098133579516981
0.5,96,2,8,0.7131258192649829,0.0016581370694938116
0.5,96,3,8,0.7405365297111051,0.0017297306752645488
0.5,96,4,8,0.7627084885845956,0.002131994884772204
0.5,96,5,8,0.7821381902595288,0.0020777964055150727
0.5,96,6,8,0.7958268865871323,0.0026394559269654664
0.5,96,7,8,0.8083189935085756,0.0029571980152163237
0.5,96,8,8,0.8202254831602548,0.0033443959369820883
0.5,96,10,8,0.8420124810965157,0.002971781460732278
0.5,96,12,8,0.8627355721766458,0.002534653220839545
0.5,96,15,8,0.8858593403688605,0.003106417939383469
0.5,96,18,8,0.9080451373851697,0.0046355068412131765
0.5,96,22,8,0.9308947288824603,0.005451815895854616
0.5,96,27,8,0.9548147634489779,0.0036233224188769683
0.5,96,33,8,0.9828172348016522,0.0050944372472425834
0.5,96,40,8,1.0067782597264128,0.005618288685845877
0.5,96,48,8,1.0332784293481407,0.006577455339555836
0.5,96,58,8,1.0652570718929424,0.007816234652707938
0.5,96,71,8,1.1041133547904247,0.012851115711050074
0.5,96,86,8,1.1453327137081013,0.013642646754490737
0.5,96,105,8,1.1835061137294811,0.014125495300900388
0.5,96,127,8,1.2216569639852768,0.011977973536241731
0.5,96,154,8,1.2485669216897537,0.012016446085023108
0.5,96,187,8,1.28754078779284,0.01011636087094134
0.5,96,227,8,1.3325171249143841,0.009286327949810963
0.5,96,276,8,1.3822012697689114,0.010243989547502544
0.5,96,334,8,1.4283810056090172,0.012818101743790826
0.5,96,406,8,1.4857184677641977,0.011045182248409387
0.5,96,493,8,1.5336759724076614,0.0081478021013911
0.5,96,598,8,1.5739066164970554,0.0054241379601263065
0.5,96,726,8,1.6391068153262243,0.009741197915320111
0.5,96,881,8,1.6830899046575976,0.007618382292949962
0.5,96,1069,8,1.7502051535995007,0.013114818151959761
0.5,96,1298,8,1.8214612433995447,0.012946859948003724
0.5,96,1576,8,1.879656092168402,0.011321481685461324
0.5,96,1912,8,1.9545018318026814,0.012753223910242823
0.5,96,2321,8,2.054311253930238,0.01569473381790546
0.5,96,2818,8,2.1602424870288934,0.018657104137282162
0.5,96,3420,8,2.2602891730117847,0.012052734354458547
0.5,96,4151,8,2.388388343479808,0.023253291753599258
0.5,96,5039,8,2.492372299848521,0.025630188101796625
0.5,96,6116,8,2.604825015227242,0.035352280310050395
0.5,96,7423,8,2.7047902231116154,0.03107415015223538
0.5,96,9010,8,2.861405303461916,0.03253666302406427
0.5,96,10937,8,3.0495842229391172,0.0604203458620728
0.5,96,13275,8,3.179900113256157,0.06390925798855533
0.5,96,16113,8,3.310904059485545,0.06801797143718295
0.5,96,19557,8,3.5173231155849325,0.0535270913282444
0.5,96,23739,8,3.6516622946294124,0.06766128251968358
0.5,96,28814,8,3.7935264076253192,0.051626735413140716
0.5,96,34974,8,3.987136541055468,0.05008589072564828
0.5,96,42451,8,4.15868355024841,0.03872881695246997
0.5,96,51526,8,4.462355419582941,0.05115403650852203
0.5,96,62542,8,4.704507646852237,0.06181205618080746
0.5,96,75913,8,4.965018634295623,0.08017586810779156
0.5,96,92142,8,5.389669639064767,0.08164665480310074
0.5,96,111841,8,5.782992666670903,0.11873842696740818
0.5,96,135751,8,6.062633127228347,0.11995459360187388
0.5,96,164773,8,6.3829021602030585,0.13429429408895735
0.5,96,200000,8,6.683397310068863,0.1487274122891396
0.5,128,1,8,0.6702937314157902,0.0014828487673418387
0.5,128,2,8,0.7098952139977157,0.001889304741424046
0.5,128,3,8,0.7364067525726733,0.0020700411360451776
0.5,128,4,8,0.7592230843347318,0.0025124746734490645
0.5,128,5,8,0.7789268816062878,0.0024873834675064057
0.5,128,6,8,0.7949839544312142,0.0027535045196222744
0.5,128,7,8,0.8081101208666419,0.0029666458138740844
0.5,128,8,8,0.8220107077743032,0.002794727393007903
0.5,128,10,8,0.8439274455280472,0.002994469268128797
0.5,128,12,8,0.8615309200983226,0.002389579288540972
0.5,128,15,8,0.8864899048628039,0.0026225335173074727
0.5,128,18,8,0.9031874255135459,0.002953534486050695
0.5,128,22,8,0.9277066541781608,0.0032237600224455337
0.5,128,27,8,0.9508506739998195,0.004006946497736287
0.5,128,33,8,0.9748613537064159,0.004325436956648502
0.5,128,40,8,1.004640195874882,0.005941695647295375
0.5,128,48,8,1.033389960487927,0.005934098660131442
0.5,128,58,8,1.0672147188290364,0.004964747407476283
0.5,128,71,8,1.106363541445989,0.006529956447601849
0.5,128,86,8,1.1367716832747785,0.007402096711743106
0.5,128,105,8,1.1778640206275535,0.009436924236353466
0.5,128,127,8,1.2064864015469141,0.007692946660071
0.5,128,154,8,1.251938184029175,0.006198694643501823
0.5,128,187,8,1.292661370634167,0.005277768860038284
0.5,128,227,8,1.3259648639658648,0.004950017974828651
0.5,128,276,8,1.3733346765065406,0.0035634313424954696
0.5,128,334,8,1.4207579457218649,0.004430968100958022
0.5,128,406,8,1.46783893505717,0.004131643032891473
0.5,128,493,8,1.5062221871413022,0.007400713003198294
0.5,128,598,8,1.5773944765234351,0.005504058532087927
0.5,128,726,8,1.6375073335687895,0.006898444113446568
0.5,128,881,8,1.6997927441346063,0.009436723300531658
0.5,128,1069,8,1.757415019929403,0.005651224756584872
0.5,128,1298,8,1.8275083027660157,0.006392003888584864
0.5,128,1576,8,1.907482945256856,0.0077675444225904075
0.5,128,1912,8,1.985166535663486,0.011362836526071679
0.5,128,2321,8,2.0746540889306275,0.008785775164119648
0.5,128,2818,8,2.1710027910207943,0.011314648605766548
0.5,128,3420,8,2.272896485442719,0.011531496085530564
0.5,128,4151,8,2.3822490752374,0.016974938084497137
0.5,128,5039,8,2.5058617395923095,0.012312117765391126
0.5,128,6116,8,2.622847847713342,0.025328665672463484
0.5,128,7423,8,2.738783136082212,0.017894911366541214
0.5,128,9010,8,2.8709476939878185,0.023189614795618048
