composition,L,reference_L,sweep,n_small,n_reference,resolved_small,resolved_reference,mean_small,mean_reference,difference_sites,ratio,ratio_low,ratio_high,status
0.5,32,128,382,16,16,True,True,1.4641739765911903,1.451268556207827,0.012905420383363397,1.0088925101616515,0.9819497975432419,1.0335738716082006,resolved
0.5,32,128,455,16,16,True,True,1.521443414241149,1.4954663998086948,0.02597701443245426,1.0173705102540433,1.0023883836778664,1.0330499223443304,resolved
0.5,32,128,542,16,16,True,True,1.557234762708157,1.5433605469579483,0.013874215750208752,1.008989614110297,0.9834545973516832,1.0336019725416223,resolved
0.5,32,128,646,16,16,True,True,1.6350427568282324,1.5952228635609007,0.03981989326733171,1.0249619624799287,1.0054776887040986,1.044242618075639,resolved
0.5,32,128,769,16,16,True,True,1.6651022478666708,1.644218970943836,0.02088327692283487,1.0127010314878238,0.9963823241259737,1.0321867636960584,resolved
0.5,32,128,916,16,16,True,True,1.7436684131574949,1.705074770745855,0.03859364241163998,1.022634574784517,0.9967471923445874,1.0498881705227325,resolved
0.5,32,128,1091,16,16,True,True,1.770409361163947,1.7599291720821324,0.010480189081814695,1.0059548925309396,0.9829364546155596,1.0307260357851002,resolved
0.5,32,128,1300,16,16,True,True,1.8551051212404999,1.821080326449644,0.03402479479085585,1.0186838517206926,0.9904025354902252,1.04700535737318,resolved
0.5,32,128,1548,16,16,True,True,1.9057533179109587,1.888415918937344,0.017337398973614748,1.0091809218508234,0.9803444775927914,1.0406479939144022,resolved
0.5,32,128,1844,16,16,True,True,1.946794616326786,1.9633149403811443,-0.016520324054358326,0.991585494657749,0.959005477432158,1.0285062847151691,resolved
0.5,32,128,2197,16,16,True,True,2.0644079180206383,2.040969165966442,0.02343875205419632,1.0114841284449771,0.9840771002900863,1.0444934771625882,resolved
0.5,32,128,2617,16,16,True,True,2.1585006322184617,2.1259524359350954,0.03254819628336625,1.015309936258781,0.9790114598146981,1.0566033875724286,resolved
0.5,32,128,3117,16,16,True,True,2.2305273211925023,2.207368292120819,0.023159029071683435,1.0104916923715672,0.9735230917759546,1.050306929384528,resolved
0.5,32,128,3712,16,16,True,True,2.393833148410756,2.3080797584576667,0.08575338995308934,1.0371535644029877,0.9931513981511612,1.0860479144734045,resolved
0.5,32,128,4421,16,16,True,True,2.489423094673114,2.391510399383888,0.09791269528922619,1.0409417811080608,0.9881535907102863,1.1005041670807152,resolved
0.5,32,128,5266,16,16,True,True,2.6354175896852583,2.4987514124273393,0.13666617725791896,1.0546937868962156,1.0108335115421336,1.0988221735012502,resolved
0.5,32,128,6273,16,16,True,True,2.7505178328663513,2.601964502372619,0.14855333049373254,1.0570927583209815,1.0072736175381605,1.1080021085853677,resolved
0.5,32,128,7472,16,16,True,True,2.8303351197308477,2.7002443985793487,0.130090721151499,1.048177387654222,0.9891696177690257,1.1050636050473415,resolved
0.5,32,128,8900,16,16,True,True,2.9565420496083217,2.8099127237485413,0.1466293258597804,1.0521828755108702,0.9922808453833725,1.1083317358979212,resolved
0.5,32,128,10600,16,16,True,True,3.1503410465895096,2.9443175280879093,0.2060235185016004,1.0699732676710978,1.0027707955456648,1.1433417974145346,resolved
0.5,32,128,12626,16,16,True,True,3.316749853666986,3.0911853164811744,0.2255645371858117,1.0729702408921187,1.0058298054465085,1.1461622793979909,resolved
0.5,32,128,15039,16,16,True,True,3.532327525361482,3.2406915672796712,0.29163595808181064,1.0899918897023015,1.0350192034368435,1.13827607109092,resolved
