composition,L,sweep,n_replicas,resolved_all,resolved_x,resolved_y,mean_length_x,mean_length_y,mean_length,standard_error,length_over_L
0.5,32,3117,16,True,16,16,2.160135731858461,2.300918910526544,2.2305273211925023,0.04619309732576594,0.0697039787872657
0.5,32,3712,16,True,16,16,2.3186576914396753,2.4690086053818376,2.393833148410756,0.05814649900929031,0.07480728588783613
0.5,32,4421,16,True,16,16,2.4047232009939803,2.574122988352248,2.489423094673114,0.07041161514125731,0.07779447170853482
0.5,32,5266,16,True,16,16,2.619622171569322,2.6512130078011946,2.6354175896852583,0.06188739441316097,0.08235679967766432
0.5,32,6273,16,True,16,16,2.8085154573064197,2.6925202084262843,2.7505178328663513,0.0689337263836812,0.08595368227707348
0.5,32,7472,16,True,16,16,2.9284775481973697,2.7321926912643244,2.8303351197308477,0.08205762071061971,0.08844797249158899
0.5,32,8900,16,True,16,16,2.9643867111226263,2.9486973880940175,2.9565420496083217,0.08296116450288986,0.09239193905026005
0.5,32,10600,16,True,16,16,3.184996009976599,3.1156860832024216,3.1503410465895096,0.10233547291261312,0.09844815770592218
0.5,32,12626,16,True,16,16,3.383168811189659,3.2503308961443125,3.316749853666986,0.11415547612065644,0.10364843292709332
0.5,32,15039,16,True,16,16,3.5345571492231436,3.53009790149982,3.532327525361482,0.08680692491243315,0.11038523516754631
0.5,32,17913,16,True,16,16,3.623300316876914,3.7437390982180117,3.683519707547463,0.11192073996025409,0.11510999086085821
0.5,32,21336,16,True,16,16,3.77082786380878,3.9422440185724215,3.856535941190601,0.13403269711305543,0.12051674816220628
0.5,32,25413,16,True,16,16,3.9070695911082796,4.096664683191957,4.001867137150119,0.15460261820113783,0.1250583480359412
0.5,32,30270,16,True,16,16,4.283491290697649,4.393574190050309,4.33853274037398,0.19409141314693903,0.13557914813668687
0.5,32,36055,16,True,16,16,4.705539676394151,4.928492322050249,4.817015999222201,0.36665800561476486,0.15053174997569377
0.5,32,42945,16,False,15,13,nan,nan,nan,nan,nan
0.5,32,51152,16,False,15,14,nan,nan,nan,nan,nan
0.5,32,60927,16,False,14,12,nan,nan,nan,nan,nan
0.5,32,72570,16,False,13,12,nan,nan,nan,nan,nan
0.5,32,86439,16,False,10,12,nan,nan,nan,nan,nan
0.5,32,102958,16,False,10,11,nan,nan,nan,nan,nan
0.5,32,122633,16,False,10,11,nan,nan,nan,nan,nan
0.5,32,146069,16,False,11,10,nan,nan,nan,nan,nan
0.5,32,173983,16,False,10,10,nan,nan,nan,nan,nan
0.5,32,207231,16,False,10,10,nan,nan,nan,nan,nan
0.5,32,246834,16,False,10,10,nan,nan,nan,nan,nan
0.5,32,294005,16,False,10,11,nan,nan,nan,nan,nan
0.5,32,350190,16,False,10,10,nan,nan,nan,nan,nan
0.5,32,417112,16,False,10,9,nan,nan,nan,nan,nan
0.5,32,496824,16,False,10,9,nan,nan,nan,nan,nan
0.5,32,591769,16,False,10,8,nan,nan,nan,nan,nan
0.5,32,704857,16,False,10,7,nan,nan,nan,nan,nan
0.5,32,839558,16,False,10,7,nan,nan,nan,nan,nan
0.5,32,1000000,16,False,10,7,nan,nan,nan,nan,nan
0.5,64,1,16,True,16,16,0.6669474056478244,0.6681414908820591,0.6675444482649416,0.0023208934889468306,0.010430382004139713
0.5,64,2,16,True,16,16,0.706239885063173,0.7078710512202079,0.7070554681416906,0.002428839861938339,0.011047741689713916
0.5,64,3,16,True,16,16,0.7317967158225676,0.7365686266607789,0.7341826712416732,0.002186748275473147,0.011471604238151144
0.5,64,4,16,True,16,16,0.7539366763150005,0.7584931658945426,0.7562149211047716,0.0026926062015092444,0.011815858142262057
0.5,64,5,16,True,16,16,0.7745215260726996,0.7743666696545404,0.7744440978636201,0.0026604445264175945,0.012100689029119064
0.5,64,6,16,True,16,16,0.7905452211013435,0.79312463714143,0.7918349291213866,0.0028992183131050266,0.012372420767521666
0.5,64,7,16,True,16,16,0.8069719748008197,0.8076195757116441,0.807295775256232,0.002996216633101199,0.012613996488378625
0.5,64,8,16,True,16,16,0.8180646466269145,0.81993936499725,0.8190020058120822,0.0028938541846025775,0.012796906340813784
0.5,64,10,16,True,16,16,0.8378670772769821,0.8465689333781188,0.8422180053275504,0.002859198853112723,0.013159656333242975
0.5,64,12,16,True,16,16,0.8508776826402497,0.8663299003628853,0.8586037915015674,0.003019634854571209,0.01341568424221199
0.5,64,14,16,True,16,16,0.8748455451419207,0.8750617403169836,0.8749536427294521,0.003992654645797623,0.013671150667647689
