composition,L,method,nominal_t_min,nominal_t_max,used_t_min,used_t_max,n_replicas,n_points,alpha,bootstrap_low,bootstrap_high,max_length_over_L
0.5,96,primary_unfiltered,200000,1000000,207231,839558,16,9,nan,nan,nan,0.11639068047020838
0.5,96,ell_over_L_below_0.15_sensitivity,200000,1000000,207231,839558,16,9,nan,nan,nan,0.11639068047020838
0.5,128,primary_unfiltered,1000,20000,1091,17913,16,17,0.2338920649709522,0.22883048448975885,0.2388100884022772,0.026559408311248943
0.5,128,ell_over_L_below_0.15_sensitivity,1000,20000,1091,17913,16,17,0.2338920649709522,0.22883048448975885,0.2388100884022772,0.026559408311248943
0.5,128,primary_unfiltered,1000,200000,1091,173983,16,30,0.2562217201433576,0.2509117592778728,0.26191470375723663,0.04975873494117307
0.5,128,ell_over_L_below_0.15_sensitivity,1000,200000,1091,173983,16,30,0.2562217201433576,0.2509117592778728,0.26191470375723663,0.04975873494117307
0.5,128,primary_unfiltered,20000,200000,21336,173983,16,13,0.2802658270544985,0.26249650442114925,0.29854108470860513,0.04975873494117307
0.5,128,ell_over_L_below_0.15_sensitivity,20000,200000,21336,173983,16,13,0.2802658270544985,0.26249650442114925,0.29854108470860513,0.04975873494117307
0.5,128,primary_unfiltered,20000,1000000,21336,1000000,16,23,0.30005931871276514,0.2910100808756627,0.3092481578709466,0.08874919274185343
0.5,128,ell_over_L_below_0.15_sensitivity,20000,1000000,21336,1000000,16,23,0.30005931871276514,0.2910100808756627,0.3092481578709466,0.08874919274185343
0.5,128,primary_unfiltered,200000,1000000,207231,1000000,16,10,nan,nan,nan,0.08874919274185343
0.5,128,ell_over_L_below_0.15_sensitivity,200000,1000000,207231,1000000,16,10,nan,nan,nan,0.08874919274185343
0.15,32,primary_unfiltered,1000,20000,1091,17913,16,17,0.2581676772465633,0.21446324009607087,0.3034370966760789,0.09710230888862874
0.15,32,ell_over_L_below_0.15_sensitivity,1000,20000,1091,17913,16,17,0.2581676772465633,0.21446324009607087,0.3034370966760789,0.09710230888862874
0.15,32,primary_unfiltered,1000,200000,1091,173983,16,30,0.23248830875788234,0.2226102751127751,0.2416609552104377,0.13370272185935048
0.15,32,ell_over_L_below_0.15_sensitivity,1000,200000,1091,173983,16,30,0.23248830875788234,0.2226102751127751,0.2416609552104377,0.13370272185935048
0.15,32,primary_unfiltered,20000,200000,21336,173983,16,13,0.11889743051660637,0.07088635807281515,0.17722792958648412,0.13370272185935048
0.15,32,ell_over_L_below_0.15_sensitivity,20000,200000,21336,173983,16,13,0.11889743051660637,0.07088635807281515,0.17722792958648412,0.13370272185935048
0.15,32,primary_unfiltered,20000,1000000,21336,1000000,16,23,0.04226890093498588,0.02101781827926335,0.06679065549726096,0.13370272185935048
0.15,32,ell_over_L_below_0.15_sensitivity,20000,1000000,21336,1000000,16,23,0.04226890093498588,0.02101781827926335,0.06679065549726096,0.13370272185935048
0.15,32,primary_unfiltered,200000,1000000,207231,1000000,16,10,nan,nan,nan,0.1333690101800405
0.15,32,ell_over_L_below_0.15_sensitivity,200000,1000000,207231,1000000,16,10,nan,nan,nan,0.1333690101800405
0.15,64,primary_unfiltered,1000,20000,1091,17913,16,17,0.2419626742628959,0.23025340703180752,0.25247226402687967,0.04546832925101759
0.15,64,ell_over_L_below_0.15_sensitivity,1000,20000,1091,17913,16,17,0.2419626742628959,0.23025340703180752,0.25247226402687967,0.04546832925101759
0.15,64,primary_unfiltered,1000,200000,1091,173983,16,30,0.2742884640984225,0.2626263188516226,0.2842385707235346,0.09113779263084952
0.15,64,ell_over_L_below_0.15_sensitivity,1000,200000,1091,173983,16,30,0.2742884640984225,0.2626263188516226,0.2842385707235346,0.09113779263084952
0.15,64,primary_unfiltered,20000,200000,21336,173983,16,13,0.29712633010647643,0.2603434468912929,0.3333078588141694,0.09113779263084952
0.15,64,ell_over_L_below_0.15_sensitivity,20000,200000,21336,173983,16,13,0.29712633010647643,0.2603434468912929,0.3333078588141694,0.09113779263084952
0.15,64,primary_unfiltered,20000,1000000,21336,1000000,16,23,0.286572451540658,0.2720629522719783,0.29906751124857917,0.13109389450296655
0.15,64,ell_over_L_below_0.15_sensitivity,20000,1000000,21336,1000000,16,23,0.286572451540658,0.2720629522719783,0.29906751124857917,0.13109389450296655
0.15,64,primary_unfiltered,200000,1000000,207231,1000000,16,10,nan,nan,nan,0.13109389450296655
0.15,64,ell_over_L_below_0.15_sensitivity,200000,1000000,207231,1000000,16,10,nan,nan,nan,0.13109389450296655
0.15,96,primary_unfiltered,1000,20000,1091,17913,16,17,0.2315500693920593,0.21954026961916265,0.24043653450871072,0.029717027519394767
0.15,96,ell_over_L_below_0.15_sensitivity,1000,20000,1091,17913,16,17,0.2315500693920593,0.21954026961916265,0.24043653450871072,0.029717027519394767
0.15,96,primary_unfiltered,1000,200000,1091,173983,16,30,0.25513386924249426,0.24829812102508048,0.26330397981275666,0.05604744223695976
0.15,96,ell_over_L_below_0.15_sensitivity,1000,200000,1091,173983,16,30,0.25513386924249426,0.24829812102508048,0.26330397981275666,0.05604744223695976
0.15,96,primary_unfiltered,20000,200000,21336,173983,16,13,0.28760055387675354,0.2668908029630271,0.3073156841062842,0.05604744223695976
0.15,96,ell_over_L_below_0.15_sensitivity,20000,200000,21336,173983,16,13,0.28760055387675354,0.2668908029630271,0.3073156841062842,0.05604744223695976
0.15,96,primary_unfiltered,20000,1000000,21336,1000000,16,23,0.2878995629780127,0.26946176890804163,0.3054192294908564,0.10000054361533722
0.15,96,ell_over_L_below_0.15_sensitivity,20000,1000000,21336,1000000,16,23,0.2878995629780127,0.26946176890804163,0.3054192294908564,0.10000054361533722
0.15,96,primary_unfiltered,200000,1000000,207231,1000000,16,10,nan,nan,nan,0.10000054361533722
0.15,96,ell_over_L_below_0.15_sensitivity,200000,1000000,207231,1000000,16,10,nan,nan,nan,0.10000054361533722
0.15,128,primary_unfiltered,1000,20000,1091,17913,16,17,0.2348451588032116,0.22781621013698428,0.24135781600956416,0.022337192687956173
0.15,128,ell_over_L_below_0.15_sensitivity,1000,20000,1091,17913,16,17,0.2348451588032116,0.22781621013698428,0.24135781600956416,0.022337192687956173
0.15,128,primary_unfiltered,1000,200000,1091,173983,16,30,0.2523062682656867,0.24841332154482937,0.2562526207591729,0.04191149654518864
0.15,128,ell_over_L_below_0.15_sensitivity,1000,200000,1091,173983,16,30,0.2523062682656867,0.24841332154482937,0.2562526207591729,0.04191149654518864
0.15,128,primary_unfiltered,20000,200000,21336,173983,16,13,0.27546702116856564,0.2577994187489008,0.2902609682112047,0.04191149654518864
0.15,128,ell_over_L_below_0.15_sensitivity,20000,200000,21336,173983,16,13,0.27546702116856564,0.2577994187489008,0.2902609682112047,0.04191149654518864
0.15,128,primary_unfiltered,20000,1000000,21336,1000000,16,23,0.2811272864040607,0.26833641460271374,0.2933045370640471,0.06751970088936889
0.15,128,ell_over_L_below_0.15_sensitivity,20000,1000000,21336,1000000,16,23,0.2811272864040607,0.26833641460271374,0.2933045370640471,0.06751970088936889
0.15,128,primary_unfiltered,200000,1000000,207231,1000000,16,10,nan,nan,nan,0.06751970088936889
0.15,128,ell_over_L_below_0.15_sensitivity,200000,1000000,207231,1000000,16,10,nan,nan,nan,0.06751970088936889
